Province,Latitude,DB_OutMax,WB,DBRange,DB_In,RH_Out,W_Out,W_In,T_o
Bangkok,13.73,35.5,26.8,7.1,25,69,0.0098,0.025,31.95
Krabi,8.09,34.6,25.3,9.1,25,82,0.0098,0.028,30.05
Kanchanaburi,14.02,37.8,25.1,10.3,25,61,0.0098,0.025,32.65
Kalasin,16.33,36.7,26.3,10.6,25,60,0.0098,0.023,31.4
KamphaengPhet,16.49,37.1,25.8,10.9,25,59,0.0098,0.023,31.65
KhonKaen,16.47,37.1,24.6,10.5,25,59,0.0098,0.023,31.85
Chanthaburi,12.61,34,26.3,7.7,25,84,0.0098,0.028,30.15
Chachoengsao,13.57,35,25.8,9.5,25,71,0.0098,0.025,30.25
Chonburi,13.36,35.1,25.9,7.4,25,76,0.0098,0.027,31.4
Chainat,15.16,36.4,26.2,9.9,25,61,0.0098,0.023,31.45
Chaiyaphum,15.81,37.2,25,10.4,25,63,0.0098,0.025,32
Chumphon,10.33,34.5,26,10.4,25,79,0.0098,0.027,29.3
ChiangRai,19.87,35.3,24.4,7.8,25,62,0.0098,0.022,31.4
ChiangMai,18.77,36.9,22.7,12.6,25,50,0.0098,0.019,30.6
Trang,7.51,34.8,25.7,9.6,25,80,0.0098,0.028,30
Trat,12.51,33.3,26.1,5.9,25,84,0.0098,0.027,30.35
Tak,16.88,38.5,23.9,10.9,25,63,0.0098,0.027,33.05
NakhonNayok,14.21,36.7,26.9,9.7,25,71,0.0098,0.027,31.85
NakhonPathom,13.82,36.3,26.6,9.6,25,67,0.0098,0.025,31.5
NakhonPhanom,17.41,35.7,25.7,10.3,25,68,0.0098,0.025,30.55
NakhonRatchasima,14.97,37,25.4,10,25,63,0.0098,0.025,32
NakhonSiThammarat,8.55,34.3,26.2,8.3,25,80,0.0098,0.027,30.15
NakhonSawan,15.67,37.9,26.1,10.5,25,59,0.0098,0.024,32.65
Nonthaburi,13.91,36.4,26.6,8.9,25,68,0.0098,0.026,31.95
Narathiwat,6.43,33.1,26.5,7.6,25,81,0.0098,0.026,29.3
Nan,18.78,36.8,25.4,12.9,25,61,0.0098,0.024,30.35
Buriram,14.99,36.8,25.4,10.2,25,61,0.0098,0.024,31.7
PathumThani,14.02,36.5,27.4,8.9,25,69,0.0098,0.026,32.05
PrachuapKhiriKhan,11.81,34.8,27.5,8.1,25,69,0.0098,0.024,30.75
Prachinburi,14.05,36.7,26.9,9.7,25,71,0.0098,0.027,31.85
Pattani,6.87,34.3,26.3,8.4,25,77,0.0098,0.026,30.1
PhraNakhonSiAyutthaya,14.35,36.6,26.9,9.4,25,66,0.0098,0.025,31.9
Phayao,19.17,35.8,23.6,11.5,25,57,0.0098,0.021,30.05
PhangNga,8.44,33.5,26.8,7.6,25,83,0.0098,0.027,29.7
Phatthalung,7.62,34.3,26.8,7.7,25,81,0.0098,0.027,30.45
Phichit,16.44,36.9,26.2,9.9,25,59,0.0098,0.023,31.95
Phitsanulok,16.82,37,25.6,10.5,25,56,0.0098,0.022,31.75
Phetchaburi,13.11,34,27.5,6.3,25,68,0.0098,0.023,30.85
Phetchabun,16.43,37.3,26,11.5,25,71,0.0098,0.028,31.55
Phrae,18.13,37.4,25,12.1,25,60,0.0098,0.024,31.35
Phuket,7.88,34.2,26.1,6.5,25,79,0.0098,0.027,30.95
MahaSarakham,16.25,37.4,26.3,10.2,25,60,0.0098,0.024,32.3
Mukdahan,16.53,36.7,25.2,10,25,65,0.0098,0.025,31.7
MaeHongSon,19.3,37.9,23.1,14,25,50,0.0098,0.02,30.9
Yasothon,15.79,36.7,25.1,9.9,25,61,0.0098,0.023,31.75
Yala,6.52,35,25.7,10,25,78,0.0098,0.027,30
RoiEt,16.05,36.9,25.9,9.9,25,61,0.0098,0.024,31.95
Ranong,9.95,34.6,25.6,8.7,25,79,0.0098,0.027,30.25
Rayong,12.63,34.2,27.5,5.9,25,80,0.0098,0.027,31.25
Ratchaburi,13.49,35.7,26.6,9.9,25,64,0.0098,0.023,30.75
Lopburi,14.8,36.5,26.1,9.4,25,63,0.0098,0.024,31.8
Lampang,18.29,38,23.6,13.6,25,53,0.0098,0.022,31.2
Lamphun,18.57,37.6,23.3,13,25,48,0.0098,0.019,31.1
Loei,17.41,36.5,25.6,12.2,25,65,0.0098,0.025,30.4
Sisaket,15.09,36.7,26.3,10.3,25,68,0.0098,0.026,31.55
SakonNakhon,17.12,36.3,25.8,10.4,25,65,0.0098,0.024,31.1
Songkhla,7.02,34.2,25.4,8,25,80,0.0098,0.027,30.2
Satun,6.65,34.7,25.6,9.6,25,81,0.0098,0.028,29.9
SamutPrakan,13.69,35,25.3,6.8,25,71,0.0098,0.025,31.6
SamutSongkhram,13.49,35.7,26.6,9.9,25,70,0.0098,0.026,30.75
SamutSakhon,13.41,35.7,26.6,9.9,25,73,0.0098,0.027,30.75
SaKaeo,13.79,36.4,26.8,10,25,71,0.0098,0.027,31.4
Saraburi,14.53,36.6,26.9,9.4,25,67,0.0098,0.026,31.9
SingBuri,14.47,36.8,26.6,9.6,25,61,0.0098,0.024,32
Sukhothai,17.11,37.6,27,10.2,25,52,0.0098,0.021,32.5
SuphanBuri,14.47,36.8,26.6,9.7,25,62,0.0098,0.024,31.95
SuratThani,9.13,35,26.2,10.4,25,76,0.0098,0.027,29.8
Surin,14.88,36.9,25.9,9.9,25,62,0.0098,0.024,31.95
NongKhai,17.86,36.7,25.6,10.2,25,62,0.0098,0.024,31.6
NongBuaLamphu,17.23,37,24.7,10.5,25,60,0.0098,0.023,31.75
AngThong,14.59,36.6,26.9,9.4,25,64,0.0098,0.025,31.9
AmnatCharoen,15.87,36.7,25.2,10,25,63,0.0098,0.024,31.7
UdonThani,17.41,37.1,24.4,10.8,25,61,0.0098,0.024,31.7
Uttaradit,17.62,37.5,26,11.4,25,56,0.0098,0.022,31.8
UthaiThani,15.38,36.4,26.2,9.9,25,61,0.0098,0.023,31.45
UbonRatchathani,15.23,36.3,25.8,10.3,25,63,0.0098,0.024,31.15
BuengKan,18.36,36.7,25.6,10.2,25,64,0.0098,0.025,31.6
